source_fifa_version,source_record_kind,player_id,name,overall,position,secondary_positions,age,nationality,club,league,preferred_foot,pace,shooting,passing,dribbling,defending,physical,image_url,auction_group,rating_tier,base_price_cr
24,REGULAR_CAREER,239085,E. Haaland,91,ST,,22,Norway,Manchester City,Premier League,Left,89,93,66,80,45,88,,ATT,ELITE,9
24,REGULAR_CAREER,231747,K. Mbappé,91,ST,LW,24,France,Paris Saint Germain,Ligue 1,Right,97,90,80,92,36,78,,ATT,ELITE,9
24,REGULAR_CAREER,202126,H. Kane,90,ST,,29,England,FC Bayern München,Bundesliga,Right,69,93,84,83,49,83,,ATT,ELITE,9
24,REGULAR_CAREER,165153,K. Benzema,90,CF,ST,35,France,Al Ittihad,Pro League,Right,79,88,83,87,39,78,,ATT,ELITE,9
24,REGULAR_CAREER,158023,L. Messi,90,CF,CAM,36,Argentina,Inter Miami,Major League Soccer,Left,80,87,90,94,33,64,,ATT,ELITE,9
24,REGULAR_CAREER,188545,R. Lewandowski,90,ST,,34,Poland,FC Barcelona,La Liga,Right,75,91,80,87,44,84,,ATT,ELITE,9
24,REGULAR_CAREER,209331,M. Salah,89,RW,,31,Egypt,Liverpool,Premier League,Left,89,87,81,88,45,76,,ATT,PREMIUM,7
24,REGULAR_CAREER,190871,Neymar Jr,89,LW,,31,Brazil,Al Hilal,Pro League,Right,86,83,85,93,37,61,,ATT,PREMIUM,7
24,REGULAR_CAREER,238794,Vini Jr.,89,LW,,22,Brazil,Real Madrid,La Liga,Right,95,82,78,90,29,68,,ATT,PREMIUM,7
24,REGULAR_CAREER,194765,A. Griezmann,88,ST,CF,32,France,Atlético Madrid,La Liga,Left,80,88,87,88,58,75,,ATT,PREMIUM,7
24,REGULAR_CAREER,232293,V. Osimhen,88,ST,,24,Nigeria,Napoli,Serie A,Right,90,86,66,83,42,82,,ATT,PREMIUM,7
24,REGULAR_CAREER,200104,H. Son,87,LW,,30,Korea Republic,Tottenham Hotspur,Premier League,Right,87,88,80,84,42,70,,ATT,PREMIUM,7
24,REGULAR_CAREER,231478,L. Martínez,87,ST,,25,Argentina,Inter,Serie A,Right,80,86,71,85,48,85,,ATT,PREMIUM,7
24,REGULAR_CAREER,246669,B. Saka,86,RW,RM,21,England,Arsenal,Premier League,Left,85,81,79,87,60,70,,ATT,STRONG,5
24,REGULAR_CAREER,232411,C. Nkunku,86,CF,"CAM, ST",25,France,Chelsea,Premier League,Right,82,81,83,88,62,67,,ATT,STRONG,5
24,REGULAR_CAREER,20801,Cristiano Ronaldo,86,ST,,38,Portugal,Al Nassr,Pro League,Right,77,88,75,80,34,74,,ATT,STRONG,5
24,REGULAR_CAREER,247635,K. Kvaratskhelia,86,LW,RW,22,Georgia,Napoli,Serie A,Right,84,80,81,87,41,71,,ATT,STRONG,5
24,REGULAR_CAREER,231443,O. Dembélé,86,RW,LW,26,France,Paris Saint Germain,Ligue 1,Left,93,77,81,87,36,57,,ATT,STRONG,5
24,REGULAR_CAREER,211110,P. Dybala,86,CF,CAM,29,Argentina,Roma,Serie A,Left,80,85,85,90,40,60,,ATT,STRONG,5
24,REGULAR_CAREER,241721,Rafael Leão,86,LW,"CF, ST",24,Portugal,Milan,Serie A,Right,93,80,75,87,27,76,,ATT,STRONG,5
24,REGULAR_CAREER,208722,S. Mané,86,CF,"LM, ST",31,Senegal,Al Nassr,Pro League,Right,85,83,79,87,44,74,,ATT,STRONG,5
24,REGULAR_CAREER,192387,C. Immobile,85,ST,,33,Italy,Lazio,Serie A,Right,85,87,68,78,39,74,,ATT,STRONG,5
