source_fifa_version,source_record_kind,player_id,name,overall,position,secondary_positions,age,nationality,club,league,preferred_foot,pace,shooting,passing,dribbling,defending,physical,image_url,auction_group,rating_tier,base_price_cr
24,REGULAR_CAREER,239085,E. Haaland,91,ST,,22,Norway,Manchester City,Premier League,Left,89,93,66,80,45,88,,ATT,ELITE,9
24,REGULAR_CAREER,192985,K. De Bruyne,91,CM,CAM,32,Belgium,Manchester City,Premier League,Right,72,88,94,87,65,78,,MID,ELITE,9
24,REGULAR_CAREER,231747,K. Mbappé,91,ST,LW,24,France,Paris Saint Germain,Ligue 1,Right,97,90,80,92,36,78,,ATT,ELITE,9
24,REGULAR_CAREER,202126,H. Kane,90,ST,,29,England,FC Bayern München,Bundesliga,Right,69,93,84,83,49,83,,ATT,ELITE,9
24,REGULAR_CAREER,165153,K. Benzema,90,CF,ST,35,France,Al Ittihad,Pro League,Right,79,88,83,87,39,78,,ATT,ELITE,9
24,REGULAR_CAREER,158023,L. Messi,90,CF,CAM,36,Argentina,Inter Miami,Major League Soccer,Left,80,87,90,94,33,64,,ATT,ELITE,9
24,REGULAR_CAREER,188545,R. Lewandowski,90,ST,,34,Poland,FC Barcelona,La Liga,Right,75,91,80,87,44,84,,ATT,ELITE,9
24,REGULAR_CAREER,192119,T. Courtois,90,GK,,31,Belgium,Real Madrid,La Liga,Left,,,,,,,,GK,ELITE,9
24,REGULAR_CAREER,212831,Alisson,89,GK,,30,Brazil,Liverpool,Premier League,Right,,,,,,,,GK,PREMIUM,7
24,REGULAR_CAREER,200145,Casemiro,89,CDM,,31,Brazil,Manchester United,Premier League,Right,63,75,79,73,89,88,,MID,PREMIUM,7
24,REGULAR_CAREER,209331,M. Salah,89,RW,,31,Egypt,Liverpool,Premier League,Left,89,87,81,88,45,76,,ATT,PREMIUM,7
24,REGULAR_CAREER,192448,M. ter Stegen,89,GK,,31,Germany,FC Barcelona,La Liga,Right,,,,,,,,GK,PREMIUM,7
24,REGULAR_CAREER,190871,Neymar Jr,89,LW,,31,Brazil,Al Hilal,Pro League,Right,86,83,85,93,37,61,,ATT,PREMIUM,7
24,REGULAR_CAREER,231866,Rodri,89,CDM,CM,27,Spain,Manchester City,Premier League,Right,58,73,80,80,85,84,,MID,PREMIUM,7
24,REGULAR_CAREER,239818,Rúben Dias,89,CB,,26,Portugal,Manchester City,Premier League,Right,62,39,66,69,89,87,,DEF,PREMIUM,7
24,REGULAR_CAREER,203376,V. van Dijk,89,CB,,31,Netherlands,Liverpool,Premier League,Right,78,60,71,72,89,86,,DEF,PREMIUM,7
24,REGULAR_CAREER,238794,Vini Jr.,89,LW,,22,Brazil,Real Madrid,La Liga,Right,95,82,78,90,29,68,,ATT,PREMIUM,7
24,REGULAR_CAREER,194765,A. Griezmann,88,ST,CF,32,France,Atlético Madrid,La Liga,Left,80,88,87,88,58,75,,ATT,PREMIUM,7
24,REGULAR_CAREER,218667,Bernardo Silva,88,CM,RW,28,Portugal,Manchester City,Premier League,Left,69,78,86,92,70,69,,MID,PREMIUM,7
24,REGULAR_CAREER,212198,Bruno Fernandes,88,CAM,CM,28,Portugal,Manchester United,Premier League,Right,71,86,90,83,69,77,,MID,PREMIUM,7
24,REGULAR_CAREER,210257,Ederson,88,GK,,29,Brazil,Manchester City,Premier League,Left,,,,,,,,GK,PREMIUM,7
24,REGULAR_CAREER,239053,F. Valverde,88,CM,RW,24,Uruguay,Real Madrid,La Liga,Right,88,82,84,84,80,82,,MID,PREMIUM,7
24,REGULAR_CAREER,212622,J. Kimmich,88,CDM,"RB, CM",28,Germany,FC Bayern München,Bundesliga,Right,70,74,88,84,82,79,,MID,PREMIUM,7
24,REGULAR_CAREER,200389,J. Oblak,88,GK,,30,Slovenia,Atlético Madrid,La Liga,Right,,,,,,,,GK,PREMIUM,7
24,REGULAR_CAREER,232293,V. Osimhen,88,ST,,24,Nigeria,Napoli,Serie A,Right,90,86,66,83,42,82,,ATT,PREMIUM,7
24,REGULAR_CAREER,228702,F. de Jong,87,CM,CDM,26,Netherlands,FC Barcelona,La Liga,Right,82,69,86,87,77,78,,MID,PREMIUM,7
24,REGULAR_CAREER,230621,G. Donnarumma,87,GK,,24,Italy,Paris Saint Germain,Ligue 1,Right,,,,,,,,GK,PREMIUM,7
24,REGULAR_CAREER,235073,G. Kobel,87,GK,,25,Switzerland,Borussia Dortmund,Bundesliga,Right,,,,,,,,GK,PREMIUM,7
24,REGULAR_CAREER,200104,H. Son,87,LW,,30,Korea Republic,Tottenham Hotspur,Premier League,Right,87,88,80,84,42,70,,ATT,PREMIUM,7
24,REGULAR_CAREER,231478,L. Martínez,87,ST,,25,Argentina,Inter,Serie A,Right,80,86,71,85,48,85,,ATT,PREMIUM,7
24,REGULAR_CAREER,177003,L. Modrić,87,CM,,37,Croatia,Real Madrid,La Liga,Right,72,76,89,87,72,66,,MID,PREMIUM,7
24,REGULAR_CAREER,215698,M. Maignan,87,GK,,27,France,Milan,Serie A,Right,,,,,,,,GK,PREMIUM,7
24,REGULAR_CAREER,167495,M. Neuer,87,GK,,37,Germany,FC Bayern München,Bundesliga,Right,,,,,,,,GK,PREMIUM,7
24,REGULAR_CAREER,222665,M. Ødegaard,87,CAM,CM,24,Norway,Arsenal,Premier League,Left,72,81,88,87,61,64,,MID,PREMIUM,7
24,REGULAR_CAREER,207865,Marquinhos,87,CB,,29,Brazil,Paris Saint Germain,Ligue 1,Right,78,56,75,74,89,80,,DEF,PREMIUM,7
24,REGULAR_CAREER,216267,A. Robertson,86,LB,,29,Scotland,Liverpool,Premier League,Left,80,61,82,81,81,77,,DEF,STRONG,5
24,REGULAR_CAREER,246669,B. Saka,86,RW,RM,21,England,Arsenal,Premier League,Left,85,81,79,87,60,70,,ATT,STRONG,5
24,REGULAR_CAREER,232411,C. Nkunku,86,CF,"CAM, ST",25,France,Chelsea,Premier League,Right,82,81,83,88,62,67,,ATT,STRONG,5
24,REGULAR_CAREER,20801,Cristiano Ronaldo,86,ST,,38,Portugal,Al Nassr,Pro League,Right,77,88,75,80,34,74,,ATT,STRONG,5
24,REGULAR_CAREER,252371,J. Bellingham,86,CM,CAM,20,England,Real Madrid,La Liga,Right,76,78,80,85,78,82,,MID,STRONG,5
24,REGULAR_CAREER,256790,J. Musiala,86,CAM,"CM, LM",20,Germany,FC Bayern München,Bundesliga,Right,85,75,76,91,63,61,,MID,STRONG,5
24,REGULAR_CAREER,210514,João Cancelo,86,LB,RB,29,Portugal,FC Barcelona,La Liga,Right,81,73,85,84,80,72,,DEF,STRONG,5
