player_id,name,overall,club,latest_source_edition,reason
193080,De Gea,87,Manchester United,23.0,Previous combined catalog retained a player absent from FC24
162835,S. Handanovič,84,Inter,23.0,Previous combined catalog retained a player absent from FC24
5479,Casillas,83,Porto,20.0,Previous combined catalog retained a player absent from FC24
104389,R. Jarstein,83,Hertha BSC,23.0,Previous combined catalog retained a player absent from FC24
165580,Diego Alves,83,Valencia,17.0,Previous combined catalog retained a player absent from FC24
168435,S. Sirigu,82,Genoa,23.0,Previous combined catalog retained a player absent from FC24
48940,P. Čech,82,Arsenal,19.0,Previous combined catalog retained a player absent from FC24
106573,Victor Valdés,82,Middlesbrough,17.0,Previous combined catalog retained a player absent from FC24
167628,S. Ruffier,81,Saint-Étienne,21.0,Previous combined catalog retained a player absent from FC24
200316,T. Horn,81,FC Köln,23.0,Previous combined catalog retained a player absent from FC24
116494,C. Carrasso,81,Galatasaray,18.0,Previous combined catalog retained a player absent from FC24
139968,V. Enyeama,81,Lille,19.0,Previous combined catalog retained a player absent from FC24
186953,O. Kıvrak,81,Trabzonspor,19.0,Previous combined catalog retained a player absent from FC24
139094,Helton,81,Porto,16.0,Previous combined catalog retained a player absent from FC24
121939,P. Lahm,88,FC Bayern München,17.0,Previous combined catalog retained a player absent from FC24
164169,Filipe Luís,85,Atlético Madrid,19.0,Previous combined catalog retained a player absent from FC24
137186,A. Barzagli,84,Juventus,19.0,Previous combined catalog retained a player absent from FC24
152729,Piqué,83,FC Barcelona,23.0,Previous combined catalog retained a player absent from FC24
192774,K. Manolas,83,Napoli,22.0,Previous combined catalog retained a player absent from FC24
139720,V. Kompany,83,Anderlecht,20.0,Previous combined catalog retained a player absent from FC24
170481,E. Garay,83,Valencia,20.0,Previous combined catalog retained a player absent from FC24
140601,N. Vidić,83,Inter,16.0,Previous combined catalog retained a player absent from FC24
193525,Mário Fernandes,82,CSKA Moskva,22.0,Previous combined catalog retained a player absent from FC24
177457,L. Bender,82,Bayer 04 Leverkusen,21.0,Previous combined catalog retained a player absent from FC24
146530,Dani Alves,82,Paris Saint Germain,19.0,Previous combined catalog retained a player absent from FC24
167905,A. Valencia,82,Manchester United,19.0,Previous combined catalog retained a player absent from FC24
183280,A. Rami,82,Olympique de Marseille,23.0,Previous combined catalog retained a player absent from FC24
163824,A. Williams,82,Everton,21.0,Previous combined catalog retained a player absent from FC24
163419,B. Sagna,82,Manchester City,20.0,Previous combined catalog retained a player absent from FC24
209119,F. Amorebielsa,82,,15.0,Previous combined catalog retained a player absent from FC24
177458,S. Bender,81,Bayer 04 Leverkusen,21.0,Previous combined catalog retained a player absent from FC24
112316,J. Mathieu,81,Sporting CP,20.0,Previous combined catalog retained a player absent from FC24
168530,Jardel,81,Benfica,21.0,Previous combined catalog retained a player absent from FC24
179784,B. Höwedes,81,Lokomotiv Moskva,20.0,Previous combined catalog retained a player absent from FC24
164468,G. Cahill,81,Chelsea,22.0,Previous combined catalog retained a player absent from FC24
53612,P. Mertesacker,81,Arsenal,18.0,Previous combined catalog retained a player absent from FC24
139997,D. Srna,81,Shakhtar Donetsk,18.0,Previous combined catalog retained a player absent from FC24
142780,G. Rodríguez,81,San Lorenzo,20.0,Previous combined catalog retained a player absent from FC24
173198,D. Astori,81,Fiorentina,18.0,Previous combined catalog retained a player absent from FC24
181560,M. Yanga-Mbiwa,81,Olympique Lyonnais,20.0,Previous combined catalog retained a player absent from FC24
177635,B. Trémoulinas,81,Sevilla,17.0,Previous combined catalog retained a player absent from FC24
1611,M. Stranzl,81,Borussia Mönchengladbach,16.0,Previous combined catalog retained a player absent from FC24
136130,Alex,81,Milan,16.0,Previous combined catalog retained a player absent from FC24
34079,A. Cole,81,Roma,19.0,Previous combined catalog retained a player absent from FC24
176676,Marcelo,80,Real Madrid,22.0,Previous combined catalog retained a player absent from FC24
177509,M. Benatia,80,Fatih Karagümrük,22.0,Previous combined catalog retained a player absent from FC24
177604,Nacho Monreal,80,Real Sociedad,22.0,Previous combined catalog retained a player absent from FC24
182493,D. Godín,80,Cagliari,23.0,Previous combined catalog retained a player absent from FC24
201922,M. Hinteregger,80,Eintracht Frankfurt,22.0,Previous combined catalog retained a player absent from FC24
203890,Š. Vrsaljko,80,Atlético Madrid,22.0,Previous combined catalog retained a player absent from FC24
205705,Z. Feddal,80,Sporting CP,23.0,Previous combined catalog retained a player absent from FC24
200536,N. Schulz,80,Borussia Dortmund,23.0,Previous combined catalog retained a player absent from FC24
168609,Miranda,80,Jiangsu Suning,21.0,Previous combined catalog retained a player absent from FC24
173771,Ł. Piszczek,80,Borussia Dortmund,21.0,Previous combined catalog retained a player absent from FC24
178372,B. Ivanović,80,West Bromwich Albion,21.0,Previous combined catalog retained a player absent from FC24
179944,David Luiz,80,Arsenal,21.0,Previous combined catalog retained a player absent from FC24
194022,André Almeida,80,Benfica,23.0,Previous combined catalog retained a player absent from FC24
245299,J. Frendado,80,,21.0,Previous combined catalog retained a player absent from FC24
