source_fifa_version,source_record_kind,player_id,name,overall,position,secondary_positions,age,nationality,club,league,preferred_foot,pace,shooting,passing,dribbling,defending,physical,image_url,auction_group,rating_tier,base_price_cr
24,REGULAR_CAREER,192985,K. De Bruyne,91,CM,CAM,32,Belgium,Manchester City,Premier League,Right,72,88,94,87,65,78,,MID,ELITE,9
24,REGULAR_CAREER,200145,Casemiro,89,CDM,,31,Brazil,Manchester United,Premier League,Right,63,75,79,73,89,88,,MID,PREMIUM,7
24,REGULAR_CAREER,231866,Rodri,89,CDM,CM,27,Spain,Manchester City,Premier League,Right,58,73,80,80,85,84,,MID,PREMIUM,7
24,REGULAR_CAREER,218667,Bernardo Silva,88,CM,RW,28,Portugal,Manchester City,Premier League,Left,69,78,86,92,70,69,,MID,PREMIUM,7
24,REGULAR_CAREER,212198,Bruno Fernandes,88,CAM,CM,28,Portugal,Manchester United,Premier League,Right,71,86,90,83,69,77,,MID,PREMIUM,7
24,REGULAR_CAREER,239053,F. Valverde,88,CM,RW,24,Uruguay,Real Madrid,La Liga,Right,88,82,84,84,80,82,,MID,PREMIUM,7
24,REGULAR_CAREER,212622,J. Kimmich,88,CDM,"RB, CM",28,Germany,FC Bayern München,Bundesliga,Right,70,74,88,84,82,79,,MID,PREMIUM,7
24,REGULAR_CAREER,228702,F. de Jong,87,CM,CDM,26,Netherlands,FC Barcelona,La Liga,Right,82,69,86,87,77,78,,MID,PREMIUM,7
24,REGULAR_CAREER,177003,L. Modrić,87,CM,,37,Croatia,Real Madrid,La Liga,Right,72,76,89,87,72,66,,MID,PREMIUM,7
24,REGULAR_CAREER,222665,M. Ødegaard,87,CAM,CM,24,Norway,Arsenal,Premier League,Left,72,81,88,87,61,64,,MID,PREMIUM,7
24,REGULAR_CAREER,252371,J. Bellingham,86,CM,CAM,20,England,Real Madrid,La Liga,Right,76,78,80,85,78,82,,MID,STRONG,5
24,REGULAR_CAREER,256790,J. Musiala,86,CAM,"CM, LM",20,Germany,FC Bayern München,Bundesliga,Right,85,75,76,91,63,61,,MID,STRONG,5
