player_id,name,overall,position,club,rarity,version,reason
193165,J. Corona,80,"RW, LW",,,24.0,Missing normal club or league
233260,A. Vega,79,"LW, ST, LM",,,24.0,Missing normal club or league
222382,L. Chávez,79,"CM, CDM",,,24.0,Missing normal club or league
224151,H. Martín,79,ST,,,24.0,Missing normal club or league
235389,C. Rodríguez,76,"CAM, CM",,,24.0,Missing normal club or league
211381,S. Boufal,76,"CF, LM, ST",,,24.0,Missing normal club or league
234051,A. Afif,76,"LM, CF, CAM",,,24.0,Missing normal club or league
235537,E. Sánchez,75,"CM, CDM",,,24.0,Missing normal club or league
253008,K. Álvarez,75,RB,,,24.0,Missing normal club or league
237043,R. Alvarado,75,"RM, LM",,,24.0,Missing normal club or league
237997,U. Antuna,75,"RM, LM, RW",,,24.0,Missing normal club or league
226045,J. Gallardo,75,"LB, LM, LW",,,24.0,Missing normal club or league
243015,L. Romo,75,"CM, CDM",,,24.0,Missing normal club or league
239738,J. Angulo,74,"CB, LB, LWB",,,24.0,Missing normal club or league
246289,C. Huerta,74,"LW, LM",,,24.0,Missing normal club or league
204121,J. Brabec,74,CB,,,24.0,Missing normal club or league
223208,Z. Kalmár,74,"CAM, LM",,,24.0,Missing normal club or league
232654,L. Malagón,73,GK,,,24.0,Missing normal club or league
242090,O. Solbakken,73,"RM, RW, LW",,,24.0,Missing normal club or league
242288,I. Ivušić,73,GK,,,24.0,Missing normal club or league
176571,A. Ayew,73,"ST, RW, LW",,,24.0,Missing normal club or league
268866,Y. Attiat-Allah,73,LB,,,24.0,Missing normal club or league
246295,O. Herrera,72,"LM, LW",,,24.0,Missing normal club or league
271949,N. Labrović,72,GK,,,24.0,Missing normal club or league
258608,O. Bukari,72,"RW, ST",,,24.0,Missing normal club or league
151508,S. Davis,72,CM,,,24.0,Missing normal club or league
192009,J. Rodríguez,72,GK,,,24.0,Missing normal club or league
223207,Á. Lang,72,CB,,,24.0,Missing normal club or league
268864,Y. Jabrane,72,CDM,,,24.0,Missing normal club or league
241777,A. Tagnaouti,71,GK,,,24.0,Missing normal club or league
226579,A. Zendejas,71,"RM, CM, LM",,,24.0,Missing normal club or league
268772,A. Ali,71,"ST, RM",,,24.0,Missing normal club or league
268778,K. Boudiaf,71,"CM, CDM",,,24.0,Missing normal club or league
238505,M. Johnston,70,"LW, RW",,,24.0,Missing normal club or league
180561,H. Al Haydos,70,"RM, CAM, CM",,,24.0,Missing normal club or league
197971,D. Alibec,70,ST,,,24.0,Missing normal club or league
215911,A. Hatem,70,"CM, CDM",,,24.0,Missing normal club or league
224375,B. Vécsei,70,CM,,,24.0,Missing normal club or league
268771,B. Khoukhi,70,"CB, CDM",,,24.0,Missing normal club or league
193092,M. Rojas,69,"LW, LM, RW",,,24.0,Missing normal club or league
201707,A. Fiola,69,"RWB, CB, RB",,,24.0,Missing normal club or league
259680,M. Stamenić,68,"CM, CDM",,,24.0,Missing normal club or league
268776,H. Ahmed,68,LB,,,24.0,Missing normal club or league
189167,A. Gunnarsson,68,"CDM, CM",,,24.0,Missing normal club or league
268774,I. Mohammad,68,"RB, RM",,,24.0,Missing normal club or league
